OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,WHITE_CY,BLACK_CY,AMERIND_CY,ASIAN_CY,PACIFIC_CY,OTHRACE_CY,RACE2UP_CY,HISPPOP_CY,MINORITYCY,WHITE10,BLACK10,AMERIND10,ASIAN10,PACIFIC10,OTHRACE10,RACE2UP10,HISPPOP10,MINORITY10,DIVINDX10,HISPWHT_CY,HISPBLK_CY,HISPAI_CY,HISPASN_CY,HISPPI_CY,HISPOTH_CY,HISPMLT_CY,HWHITE10,HBLACK10,HAMERIND10,HASIAN10,HPACIFIC10,HOTHRACE10,HRACE2UP10,HRACEBAS10,H1RACE10,HADRBASE10,HAD1RACE10,U18RBASE10,NONHISP_CY,NHSPWHT_CY,NHSPBLK_CY,NHSPAI_CY,NHSPASN_CY,NHSPPI_CY,NHSPOTH_CY,NHSPMLT_CY,RACEBASECY,WHTNHISP10,RACEBASE10,POP1RACE10,ADRACBAS10,AD1RACE10,DIVINDX_CY
1,A Mountain,1,NEIGHBORHOODS,0,US,1,BlockApportionment:US.BlockGroups,2.191,2.576,1,1443,316,227,68,3,1236,155,2638,3164,1451,318,223,62,3,1137,148,2465,2990,87.6,1159,17,114,8,0,1226,114,1099,16,108,8,0,1125,109,2465,2356,1546,1486,1095,810,284,299,113,60,3,10,41,3448,352,3342,3194,2247,2157,87.9
2,Adelanto,3,NEIGHBORHOODS,1,US,2,BlockApportionment:US.BlockGroups,2.191,2.576,1,123,43,106,5,0,92,20,218,348,124,42,103,4,0,81,18,197,324,90,82,3,30,0,0,91,12,75,3,27,0,0,81,11,197,186,128,123,137,171,41,40,77,5,0,1,8,389,49,372,354,236,227,90.5
3,Alvernon Heights,5,NEIGHBORHOODS,2,US,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,186,31,7,7,1,67,21,201,246,185,29,7,6,1,57,19,177,219,80.5,113,4,2,2,0,67,13,100,4,2,2,0,57,12,177,164,109,103,97,119,74,26,5,5,1,0,7,320,85,304,285,207,197,81.4
4,Amphi,3,NEIGHBORHOODS,3,US,4,BlockApportionment:US.BlockGroups,2.191,2.576,1,3967,612,314,469,26,1579,495,3898,5380,4229,602,307,425,24,1408,467,3539,4959,83.3,1883,79,121,5,6,1571,233,1727,71,114,5,6,1399,217,3539,3322,2284,2181,2030,3566,2084,534,193,465,20,8,262,7462,2502,7462,6995,5431,5168,85.2
5,Armory Park,6,NEIGHBORHOODS,4,US,5,BlockApportionment:US.BlockGroups,2.191,2.576,1,1411,66,61,41,3,229,113,776,958,1394,56,52,32,2,185,92,637,788,67.7,445,8,32,2,3,225,61,369,7,26,2,2,181,49,636,588,521,490,198,1148,966,57,30,39,1,4,52,1924,1026,1813,1721,1616,1552,72
6,Arroyo Chico,5,NEIGHBORHOODS,5,US,6,BlockApportionment:US.BlockGroups,2.191,2.576,1,2060,107,78,66,7,511,180,1614,1900,2081,97,70,55,7,443,163,1420,1676,74.4,952,6,32,4,2,504,115,841,5,28,3,2,434,105,1418,1315,1048,986,572,1395,1108,101,46,62,5,7,65,3009,1240,2916,2753,2344,2247,76.3
7,Avondale,6,NEIGHBORHOODS,6,US,7,BlockApportionment:US.BlockGroups,2.191,2.576,1,1141,122,51,39,2,162,119,516,762,1121,105,41,31,2,126,96,407,613,66.6,266,9,32,4,0,158,46,212,7,25,4,0,121,37,406,370,276,261,299,1121,875,113,19,35,2,4,73,1636,909,1522,1426,1223,1172,72
8,Balboa Heights,3,NEIGHBORHOODS,7,US,8,BlockApportionment:US.BlockGroups,2.191,2.576,1,787,88,92,84,2,394,99,869,1147,747,78,78,63,2,313,81,699,933,84.5,388,9,30,0,1,393,47,317,7,24,0,1,311,38,698,661,457,437,349,677,399,79,61,84,1,1,52,1546,430,1362,1281,1014,965,86.3
9,Barrio Anita,1,NEIGHBORHOODS,8,US,9,BlockApportionment:US.BlockGroups,2.191,2.576,1,207,10,29,6,0,98,21,231,267,231,10,29,5,0,92,21,221,256,81.7,102,3,12,0,0,97,17,99,3,12,0,0,91,16,221,205,150,144,95,140,105,7,17,6,0,0,5,371,133,388,367,294,286,83.2
10,Barrio Blue Moon,3,NEIGHBORHOODS,9,US,10,BlockApportionment:US.BlockGroups,2.191,2.576,1,510,72,69,20,3,229,53,524,672,574,72,69,19,3,214,52,498,648,83.1,227,13,30,2,1,226,26,219,12,29,2,1,210,26,499,473,358,343,172,432,283,59,39,19,2,3,27,956,356,1003,951,832,793,85.1
11,Barrio Centro,5,NEIGHBORHOODS,10,US,11,BlockApportionment:US.BlockGroups,2.191,2.576,1,677,51,40,20,7,248,73,776,899,679,50,38,18,7,220,68,704,822,78.3,460,5,16,3,0,245,47,421,4,15,3,0,218,44,705,660,517,488,255,340,217,46,24,17,7,3,26,1116,259,1080,1012,826,781,78.6
12,Barrio Hollywood,1,NEIGHBORHOODS,11,US,12,BlockApportionment:US.BlockGroups,2.191,2.576,1,1373,35,154,18,3,910,118,2317,2447,1566,39,175,18,3,967,132,2516,2664,77.2,1209,19,81,1,1,909,97,1330,20,89,1,1,966,109,2516,2407,1821,1752,777,294,164,16,73,17,2,1,21,2611,236,2900,2768,2123,2044,77.6
13,Barrio San Antonio,5,NEIGHBORHOODS,12,US,13,BlockApportionment:US.BlockGroups,2.191,2.576,1,252,12,10,12,0,39,19,134,175,254,12,9,10,0,32,16,114,149,67.9,82,1,4,1,0,38,9,70,1,3,1,0,31,8,114,106,92,88,41,210,170,11,7,12,0,1,10,344,184,333,317,292,283,71.8
14,Barrio Santa Rosa,5,NEIGHBORHOODS,13,US,14,BlockApportionment:US.BlockGroups,2.191,2.576,1,495,158,71,11,0,357,63,736,964,478,142,63,9,0,297,54,622,827,88,303,14,31,5,0,351,32,262,12,26,4,0,291,28,623,594,410,391,344,420,192,144,41,6,0,6,30,1155,216,1043,989,699,667,88.9
15,Barrio Viejo,6,NEIGHBORHOODS,14,US,15,BlockApportionment:US.BlockGroups,2.191,2.576,1,585,19,25,9,0,131,52,408,461,580,17,21,7,0,105,43,334,379,71.3,224,2,19,0,0,131,31,186,2,16,0,0,104,27,335,307,260,243,112,414,361,17,6,9,0,1,20,821,394,773,730,661,630,74.6
16,Bear Canyon,2,NEIGHBORHOODS,15,US,16,BlockApportionment:US.BlockGroups,2.191,2.576,1,2141,97,20,104,2,83,104,400,698,2215,83,17,81,2,67,86,325,572,41.2,288,6,4,2,0,78,22,235,5,4,2,0,61,18,325,307,211,203,563,2151,1853,91,16,102,2,6,82,2551,1980,2551,2465,1989,1956,48
17,Blenman-Elm,6,NEIGHBORHOODS,16,US,17,BlockApportionment:US.BlockGroups,2.191,2.576,1,2521,83,61,217,8,197,146,647,1072,2551,71,50,172,7,156,118,516,864,51.5,360,13,31,4,0,189,50,290,11,24,4,0,148,40,517,476,377,349,459,2586,2161,69,31,214,8,8,96,3233,2261,3125,3007,2666,2592,58.3
18,Broadmoor-Broadway,6,NEIGHBORHOODS,17,US,18,BlockApportionment:US.BlockGroups,2.191,2.576,1,685,18,21,26,0,93,32,324,388,691,16,18,21,0,74,27,266,319,62,199,1,11,2,0,93,19,164,1,9,2,0,74,16,266,250,203,194,139,551,487,17,10,24,0,0,13,875,527,847,820,707,691,67.2
19,Broadway/Northeast,2,NEIGHBORHOODS,18,US,19,BlockApportionment:US.BlockGroups,2.191,2.576,1,561,26,9,16,1,41,37,166,236,569,22,8,13,1,33,31,134,193,51.7,105,2,1,1,0,39,18,85,2,1,1,0,30,15,134,119,86,82,131,526,456,23,9,15,1,2,19,691,484,677,646,546,534,58.1
20,Campbell-Grant,3,NEIGHBORHOODS,19,US,20,BlockApportionment:US.BlockGroups,2.191,2.576,1,1077,35,22,39,1,69,49,294,411,1075,29,19,30,1,54,40,234,330,48.4,195,3,9,1,0,69,17,156,3,7,1,0,53,14,234,220,172,166,196,1000,882,32,13,39,1,1,32,1292,919,1248,1208,1053,1022,54.9
